time,mean,std,minimum,maximum,area_le_0_km2,area_gt_0_le_1_km2,area_gt_1_le_2_km2,area_gt_2_le_3_km2,area_gt_3_le_4_km2,area_gt_4_km2
2021-01-01,0.429,0.9,0.0,16.0,23911602,7336017,1118170,708875,250755,288175
2021-02-01,0.442,0.889,0.0,16.0,23307815,8038703,1048883,700329,242122,275741
2021-03-01,0.441,0.877,0.0,16.0,23115374,8358980,976227,660231,233718,269064
2021-04-01,0.414,0.863,0.0,16.0,23803677,7806831,899211,610816,227693,265365
2021-05-01,0.39,0.843,0.0,16.0,24455393,7235476,852515,590166,223585,256457
2021-06-01,0.345,0.807,0.0,16.0,25673389,6142960,789755,562478,210311,234700
2021-07-01,0.269,0.75,0.0,16.0,27816164,4175362,713022,519261,194264,195520
2021-08-01,0.219,0.696,0.0,16.0,29127356,3016300,648763,475840,180345,164989
2021-09-01,0.27,0.833,0.0,11.0,29569421,1055246,1895546,516449,345216,231715
2021-10-01,0.34,0.9,0.0,11.0,27922957,2294402,2161092,556996,409735,268412
2021-11-01,0.397,0.901,0.0,9.0,25842659,4514043,2025935,560515,406758,263684
2021-12-01,0.427,0.9,0.0,9.0,24749907,5669594,1970716,555488,404284,263605
2022-01-01,0.451,0.887,0.0,9.0,23693145,6877457,1867890,537013,391229,246859
2022-02-01,0.457,0.871,0.0,9.0,23198320,7575116,1726394,508555,368466,236742
2022-03-01,0.449,0.856,0.0,9.0,23213715,7706997,1629035,487583,352207,224057
2022-04-01,0.435,0.848,0.0,9.0,23555248,7446455,1558381,490984,343347,219179
2022-05-01,0.41,0.836,0.0,9.0,24241980,6870427,1476299,479179,334062,211646
2022-06-01,0.364,0.815,0.0,9.0,25588715,5625411,1421905,460524,318942,198097
2022-07-01,0.302,0.782,0.0,9.0,27396092,3957409,1359091,418501,302470,180031
2022-08-01,0.248,0.737,0.0,9.0,28800324,2765381,1257191,367877,260778,162043
2022-09-01,0.267,0.819,0.0,9.0,29479524,1347128,1574052,719966,263644,229280
2022-10-01,0.352,0.941,0.0,8.0,28123944,1961958,1827202,1085306,299611,315572
2022-11-01,0.406,0.938,0.0,8.0,26080893,4170045,1701377,1057563,296360,307356
2022-12-01,0.437,0.929,0.0,8.0,24843143,5523181,1629427,1037965,284617,295260
2023-01-01,0.447,0.899,0.0,8.0,23977236,6654791,1512070,951901,244063,273534
2023-02-01,0.45,0.868,0.0,8.0,23369986,7525081,1400697,870620,198529,248681
2023-03-01,0.446,0.853,0.0,8.0,23281148,7722510,1362445,828283,185686,233522
2023-04-01,0.431,0.839,0.0,8.0,23585253,7511115,1327577,797885,168814,222949
2023-05-01,0.403,0.821,0.0,8.0,24305446,6923329,1254756,762499,157173,210389
2023-06-01,0.363,0.801,0.0,8.0,25399337,5952797,1196631,720791,144056,199982
2023-07-01,0.296,0.766,0.0,8.0,27327787,4210991,1104723,649964,131865,188263
2023-08-01,0.22,0.691,0.0,8.0,29263911,2599763,948146,549950,106471,145352
2023-09-01,0.233,0.757,0.0,9.0,29922453,1257073,1371910,651551,271656,138950
2023-10-01,0.326,0.885,0.0,9.0,28204439,2270932,1699453,805300,457775,175695
2023-11-01,0.387,0.89,0.0,9.0,26011772,4561132,1612147,803894,452473,172176
2023-12-01,0.421,0.887,0.0,9.0,24751714,5894318,1569614,787045,438373,172529
2024-01-01,0.442,0.871,0.0,13.0,23646897,7247196,1449263,704728,384474,177266
2024-02-01,0.446,0.849,0.0,9.0,23132537,7965811,1359421,642400,336419,173236
2024-03-01,0.448,0.838,0.0,9.0,22862530,8367149,1294972,596175,316232,172765
2024-04-01,0.42,0.822,0.0,9.0,23539601,7811449,1261315,533557,291757,172145
2024-05-01,0.39,0.804,0.0,9.0,24351986,7109094,1223102,491786,265255,168602
2024-06-01,0.346,0.774,0.0,9.0,25488174,6115822,1185320,440141,220797,159569
2024-07-01,0.277,0.737,0.0,9.0,27552904,4196004,1130895,381332,197814,150874
2024-08-01,0.204,0.671,0.0,9.0,29430706,2609189,1007175,286345,140325,136083
2024-09-01,0.264,0.846,0.0,10.0,29848532,801404,1706962,802441,226248,224237
2024-10-01,0.322,0.898,0.0,10.0,28372554,2082214,1726551,915942,258814,253748
2024-11-01,0.374,0.892,0.0,10.0,26367277,4238813,1638814,872505,250488,241926
2024-12-01,0.402,0.88,0.0,10.0,25174613,5552951,1582888,834724,237135,227513
